time-date stamp,Date,"ERCOT Load, MW","Total Wind Output, MW","Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",1-hr MW change,1-hr % change
01-Jan-16 01:00:00,Jan-01,33665,4491,16246,13.3,27.6,#REF!,#REF!
01-Jan-16 02:00:00,Jan-01,33174,4458,16246,13.4,27.4,-32.4,-0.720597318
01-Jan-16 03:00:00,Jan-01,33033,4665,16246,14.1,28.7,206.6,4.634515119
01-Jan-16 04:00:00,Jan-01,33093,4691,16246,14.2,28.9,26.2,0.562649191
01-Jan-16 05:00:00,Jan-01,33741,4678,16246,13.9,28.8,-13.1,-0.279505967
01-Jan-16 06:00:00,Jan-01,34777,4551,16246,13.1,28.0,-127.0,-2.715267699
01-Jan-16 07:00:00,Jan-01,35717,4339,16246,12.1,26.7,-211.9,-4.656685617
01-Jan-16 08:00:00,Jan-01,36221,3839,16246,10.6,23.6,-500.4,-11.53192295
01-Jan-16 09:00:00,Jan-01,37348,3739,16246,10.0,23.0,-99.5,-2.592653435
01-Jan-16 10:00:00,Jan-01,38438,3485,16246,9.1,21.4,-254.6,-6.809313155
01-Jan-16 11:00:00,Jan-01,38804,3285,16246,8.5,20.2,-199.9,-5.737464073
01-Jan-16 12:00:00,Jan-01,38740,3229,16246,8.3,19.9,-55.9,-1.702895038
01-Jan-16 13:00:00,Jan-01,38354,2461,16246,6.4,15.2,-767.4,-23.76797744
01-Jan-16 14:00:00,Jan-01,37795,2322,16246,6.1,14.3,-139.5,-5.668262432
01-Jan-16 15:00:00,Jan-01,37450,2302,16246,6.1,14.2,-20.0,-0.860585311
01-Jan-16 16:00:00,Jan-01,37504,2163,16246,5.8,13.3,-138.5,-6.01655777
01-Jan-16 17:00:00,Jan-01,38406,1985,16246,5.2,12.2,-178.7,-8.260716029
01-Jan-16 18:00:00,Jan-01,41129,2054,16246,5.0,12.6,69.1,3.479900515
01-Jan-16 19:00:00,Jan-01,41086,2275,16246,5.5,14.0,221.1,10.76617404
01-Jan-16 20:00:00,Jan-01,40686,2259,16246,5.6,13.9,-15.4,-0.676875783
01-Jan-16 21:00:00,Jan-01,40268,2093,16246,5.2,12.9,-166.7,-7.378623974
01-Jan-16 22:00:00,Jan-01,39270,2065,16246,5.3,12.7,-27.3,-1.30619524
01-Jan-16 23:00:00,Jan-01,37878,2228,16246,5.9,13.7,162.5,7.868656546
02-Jan-16 00:00:00,Jan-02,36246,2103,16246,5.8,12.9,-124.7,-5.598626393
02-Jan-16 01:00:00,Jan-02,35151,2526,16246,7.2,15.5,422.4,20.08667946
02-Jan-16 02:00:00,Jan-02,34444,2450,16246,7.1,15.1,-75.1,-2.972327721
02-Jan-16 03:00:00,Jan-02,33971,2481,16246,7.3,15.3,30.6,1.247849107
02-Jan-16 04:00:00,Jan-02,33912,2412,16246,7.1,14.8,-69.3,-2.792678367
02-Jan-16 05:00:00,Jan-02,34413,2472,16246,7.2,15.2,59.8,2.479015921
02-Jan-16 06:00:00,Jan-02,35421,2588,16246,7.3,15.9,116.5,4.715122754
02-Jan-16 07:00:00,Jan-02,36757,2496,16246,6.8,15.4,-92.4,-3.571406665
02-Jan-16 08:00:00,Jan-02,37948,2092,16246,5.5,12.9,-403.9,-16.18368444
02-Jan-16 09:00:00,Jan-02,39360,1646,16246,4.2,10.1,-445.3,-21.28889156
02-Jan-16 10:00:00,Jan-02,40529,1563,16246,3.9,9.6,-83.4,-5.063334723
02-Jan-16 11:00:00,Jan-02,40737,1358,16246,3.3,8.4,-205.2,-13.12843699
02-Jan-16 12:00:00,Jan-02,40369,839,16246,2.1,5.2,-518.9,-38.21472068
02-Jan-16 13:00:00,Jan-02,39604,1067,16246,2.7,6.6,227.8,27.1536905
02-Jan-16 14:00:00,Jan-02,38590,1136,16246,2.9,7.0,69.3,6.497976978
02-Jan-16 15:00:00,Jan-02,37971,1275,16246,3.4,7.8,138.8,12.21655449
02-Jan-16 16:00:00,Jan-02,37940,1034,16246,2.7,6.4,-240.5,-18.86301528
02-Jan-16 17:00:00,Jan-02,38662,921,16246,2.4,5.7,-113.4,-10.96282035
02-Jan-16 18:00:00,Jan-02,41131,967,16246,2.4,6.0,46.1,5.008667128
02-Jan-16 19:00:00,Jan-02,41240,1373,16246,3.3,8.5,405.9,41.97325573
02-Jan-16 20:00:00,Jan-02,40789,1948,16246,4.8,12.0,574.5,41.8393724
02-Jan-16 21:00:00,Jan-02,40219,2158,16246,5.4,13.3,210.3,10.7999315
02-Jan-16 22:00:00,Jan-02,39018,2575,16246,6.6,15.8,417.0,19.32240121
02-Jan-16 23:00:00,Jan-02,37410,2888,16246,7.7,17.8,313.3,12.16849264
03-Jan-16 00:00:00,Jan-03,35767,3150,16246,8.8,19.4,261.8,9.062938507
03-Jan-16 01:00:00,Jan-03,34685,3552,16246,10.2,21.9,402.5,12.77752261
03-Jan-16 02:00:00,Jan-03,34010,3720,16246,10.9,22.9,167.3,4.71063501
03-Jan-16 03:00:00,Jan-03,33852,3836,16246,11.3,23.6,116.2,3.125077934
03-Jan-16 04:00:00,Jan-03,34083,4111,16246,12.1,25.3,274.5,7.156993523
03-Jan-16 05:00:00,Jan-03,34681,3875,16246,11.2,23.9,-235.7,-5.732990014
03-Jan-16 06:00:00,Jan-03,35770,3823,16246,10.7,23.5,-51.8,-1.33676599
03-Jan-16 07:00:00,Jan-03,37367,3279,16246,8.8,20.2,-544.4,-14.23935949
03-Jan-16 08:00:00,Jan-03,38275,2905,16246,7.6,17.9,-373.3,-11.38564651
03-Jan-16 09:00:00,Jan-03,38427,2396,16246,6.2,14.7,-509.2,-17.52455103
03-Jan-16 10:00:00,Jan-03,37541,1464,16246,3.9,9.0,-931.8,-38.88614818
03-Jan-16 11:00:00,Jan-03,36137,1293,16246,3.6,8.0,-171.9,-11.74028191
03-Jan-16 12:00:00,Jan-03,34820,1520,16246,4.4,9.4,227.1,17.57228534
03-Jan-16 13:00:00,Jan-03,33716,1514,16246,4.5,9.3,-6.0,-0.394383329
03-Jan-16 14:00:00,Jan-03,32766,1432,16246,4.4,8.8,-81.1,-5.360779452
03-Jan-16 15:00:00,Jan-03,32026,1378,16246,4.3,8.5,-54.3,-3.792692732
03-Jan-16 16:00:00,Jan-03,31870,1339,16246,4.2,8.2,-39.2,-2.842873459
03-Jan-16 17:00:00,Jan-03,32483,980,16246,3.0,6.0,-359.3,-26.83204065
03-Jan-16 18:00:00,Jan-03,36048,1180,16246,3.3,7.3,200.1,20.42911313
03-Jan-16 19:00:00,Jan-03,37607,2132,16246,5.7,13.1,952.5,80.72732774
03-Jan-16 20:00:00,Jan-03,37997,2751,16246,7.2,16.9,618.3,28.99709505
03-Jan-16 21:00:00,Jan-03,37875,2423,16246,6.4,14.9,-328.1,-11.92851593
03-Jan-16 22:00:00,Jan-03,37130,2280,16246,6.1,14.0,-142.5,-5.880879777
03-Jan-16 23:00:00,Jan-03,35539,2028,16246,5.7,12.5,-252.5,-11.0747157
04-Jan-16 00:00:00,Jan-04,34183,1954,16246,5.7,12.0,-73.7,-3.635144211
04-Jan-16 01:00:00,Jan-04,33705,1932,16246,5.7,11.9,-22.2,-1.138477802
04-Jan-16 02:00:00,Jan-04,33788,2409,16246,7.1,14.8,477.6,24.72411664
