Time (Hour-Ending),Date,ERCOT.LOAD,ERCOT.WIND.GEN,"Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",Wind 1-hr MW change,Wind 1-hr % change,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 01:00:00,Jan-01,35829,21753,36858,60.71,59.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 02:00:00,Jan-01,35245,21570,36858,61.20,58.52,-183,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 03:00:00,Jan-01,34600,21037,36858,60.80,57.07,-534,-2.48,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 04:00:00,Jan-01,34227,20595,36858,60.17,55.88,-441,-2.10,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 05:00:00,Jan-01,34093,20388,36858,59.80,55.31,-208,-1.01,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 06:00:00,Jan-01,34257,20058,36858,58.55,54.42,-330,-1.62,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 07:00:00,Jan-01,34747,19482,36858,56.07,52.86,-576,-2.87,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 08:00:00,Jan-01,35260,17943,36858,50.89,48.68,-1539,-7.90,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 09:00:00,Jan-01,35987,16438,36858,45.68,44.60,-1505,-8.39,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 10:00:00,Jan-01,36671,13977,36858,38.11,37.92,-2461,-14.97,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 11:00:00,Jan-01,36898,10277,36858,27.85,27.88,-3699,-26.47,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 12:00:00,Jan-01,37255,9406,36858,25.25,25.52,-871,-8.48,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 13:00:00,Jan-01,37761,9702,36858,25.69,26.32,296,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 14:00:00,Jan-01,38076,8286,36858,21.76,22.48,-1416,-14.60,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 15:00:00,Jan-01,38768,7609,36858,19.63,20.64,-677,-8.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 16:00:00,Jan-01,39558,8444,36858,21.35,22.91,835,10.98,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 17:00:00,Jan-01,39786,9373,36858,23.56,25.43,928,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 18:00:00,Jan-01,40468,10977,36858,27.13,29.78,1605,17.12,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 19:00:00,Jan-01,41844,16129,36858,38.55,43.76,5152,46.93,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 20:00:00,Jan-01,41404,20219,36858,48.83,54.86,4089,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 21:00:00,Jan-01,40940,21557,36858,52.65,58.49,1338,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 22:00:00,Jan-01,40172,22516,36858,56.05,61.09,959,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 23:00:00,Jan-01,39040,23885,36858,61.18,64.80,1370,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 00:00:00,Jan-02,37531,23566,36858,62.79,63.94,-320,-1.34,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 01:00:00,Jan-02,36028,22605,36858,62.74,61.33,-961,-4.08,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 02:00:00,Jan-02,35036,21872,36858,62.43,59.34,-732,-3.24,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 03:00:00,Jan-02,34350,21431,36858,62.39,58.15,-441,-2.02,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 04:00:00,Jan-02,34015,20827,36858,61.23,56.51,-604,-2.82,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 05:00:00,Jan-02,34222,20714,36858,60.53,56.20,-113,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 06:00:00,Jan-02,34955,20830,36858,59.59,56.51,115,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 07:00:00,Jan-02,36168,21969,36858,60.74,59.61,1139,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 08:00:00,Jan-02,37252,21988,36858,59.02,59.66,19,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 09:00:00,Jan-02,38186,19706,36858,51.61,53.47,-2282,-10.38,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 10:00:00,Jan-02,40013,17479,36858,43.68,47.42,-2227,-11.30,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 11:00:00,Jan-02,41299,16430,36858,39.78,44.58,-1049,-6.00,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 12:00:00,Jan-02,42604,17079,36858,40.09,46.34,649,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 13:00:00,Jan-02,43381,19274,36858,44.43,52.29,2195,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 14:00:00,Jan-02,43915,19429,36858,44.24,52.71,155,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 15:00:00,Jan-02,44220,19861,36858,44.91,53.89,432,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 16:00:00,Jan-02,44682,20619,36858,46.15,55.94,758,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 17:00:00,Jan-02,44971,21884,36858,48.66,59.37,1265,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 18:00:00,Jan-02,45929,23256,36858,50.63,63.10,1372,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 19:00:00,Jan-02,46499,21955,36858,47.22,59.57,-1301,-5.59,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 20:00:00,Jan-02,45773,20822,36858,45.49,56.49,-1133,-5.16,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 21:00:00,Jan-02,44636,20368,36858,45.63,55.26,-454,-2.18,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 22:00:00,Jan-02,43394,20157,36858,46.45,54.69,-211,-1.03,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 23:00:00,Jan-02,41402,20956,36858,50.62,56.86,799,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 00:00:00,Jan-03,39014,21662,36858,55.52,58.77,706,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 01:00:00,Jan-03,37048,21708,36858,58.59,58.90,46,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 02:00:00,Jan-03,35547,21121,36858,59.42,57.30,-586,-2.70,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 03:00:00,Jan-03,34754,20452,36858,58.85,55.49,-670,-3.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 04:00:00,Jan-03,34467,20100,36858,58.32,54.53,-351,-1.72,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 05:00:00,Jan-03,34741,19495,36858,56.12,52.89,-605,-3.01,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 06:00:00,Jan-03,36181,18923,36858,52.30,51.34,-573,-2.94,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 07:00:00,Jan-03,38485,17233,36858,44.78,46.76,-1690,-8.93,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 08:00:00,Jan-03,40016,15849,36858,39.61,43.00,-1384,-8.03,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 09:00:00,Jan-03,40472,15186,36858,37.52,41.20,-663,-4.19,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 10:00:00,Jan-03,40753,12099,36858,29.69,32.83,-3086,-20.32,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 11:00:00,Jan-03,41283,11595,36858,28.09,31.46,-504,-4.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 12:00:00,Jan-03,41888,11883,36858,28.37,32.24,288,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 13:00:00,Jan-03,42313,10911,36858,25.79,29.60,-972,-8.18,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 14:00:00,Jan-03,42802,10766,36858,25.15,29.21,-145,-1.33,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 15:00:00,Jan-03,43071,10837,36858,25.16,29.40,71,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 16:00:00,Jan-03,43316,10489,36858,24.21,28.46,-348,-3.21,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 17:00:00,Jan-03,43479,10910,36858,25.09,29.60,421,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 18:00:00,Jan-03,43445,9981,36858,22.97,27.08,-929,-8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 19:00:00,Jan-03,44398,9892,36858,22.28,26.84,-89,-0.89,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 20:00:00,Jan-03,44019,11207,36858,25.46,30.41,1314,13.29,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 21:00:00,Jan-03,42968,11977,36858,27.87,32.50,771,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 22:00:00,Jan-03,41477,12493,36858,30.12,33.90,516,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 23:00:00,Jan-03,39401,11958,36858,30.35,32.44,-536,-4.29,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 00:00:00,Jan-04,37372,11705,36858,31.32,31.76,-253,-2.12,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 01:00:00,Jan-04,36035,12138,36858,33.68,32.93,434,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 02:00:00,Jan-04,35340,13179,36858,37.29,35.76,1041,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 03:00:00,Jan-04,35186,13718,36858,38.99,37.22,540,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 04:00:00,Jan-04,35412,13550,36858,38.26,36.76,-169,-1.23,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 05:00:00,Jan-04,36288,12950,36858,35.69,35.13,-600,-4.43,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 06:00:00,Jan-04,38667,13132,36858,33.96,35.63,182,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 07:00:00,Jan-04,42019,12631,36858,30.06,34.27,-501,-3.82,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 08:00:00,Jan-04,44091,13041,36858,29.58,35.38,410,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 09:00:00,Jan-04,44249,13703,36858,30.97,37.18,663,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 10:00:00,Jan-04,43586,12223,36858,28.04,33.16,-1481,-10.81,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 11:00:00,Jan-04,42866,13023,36858,30.38,35.33,800,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 12:00:00,Jan-04,42278,13747,36858,32.52,37.30,724,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 13:00:00,Jan-04,41833,13167,36858,31.47,35.72,-580,-4.22,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 14:00:00,Jan-04,41864,12782,36858,30.53,34.68,-385,-2.92,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 15:00:00,Jan-04,41642,13173,36858,31.64,35.74,392,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 16:00:00,Jan-04,41956,12966,36858,30.90,35.18,-207,-1.57,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 17:00:00,Jan-04,42328,11852,36858,28.00,32.15,-1115,-8.60,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 18:00:00,Jan-04,42881,8255,36858,19.25,22.40,-3596,-30.35,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 19:00:00,Jan-04,43986,6632,36858,15.08,17.99,-1623,-19.66,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 20:00:00,Jan-04,43950,8014,36858,18.23,21.74,1382,20.84,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 21:00:00,Jan-04,43668,9005,36858,20.62,24.43,991,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 22:00:00,Jan-04,42948,8571,36858,19.96,23.25,-435,-4.83,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 23:00:00,Jan-04,41217,7881,36858,19.12,21.38,-689,-8.04,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 00:00:00,Jan-05,39685,8100,36858,20.41,21.98,219,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 01:00:00,Jan-05,38364,7687,36858,20.04,20.85,-414,-5.11,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 02:00:00,Jan-05,38110,6525,36858,17.12,17.70,-1162,-15.12,,,,,,,,,,,,,,,,,,,,,,,,,,
